id,sentence,label
0,So there is no way for me to plug it in here in the US unless I go by a converter.,negative
1,"Good case, Excellent value.",positive
2,Great for the jawbone.,positive
3,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,negative
4,The mic is great.,positive
5,I have to jiggle the plug to get it to line up right to get decent volume.,negative
6,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",negative
7,If you are Razr owner...you must have this!,positive
8,"Needless to say, I wasted my money.",negative
9,What a waste of money and time!.,negative
10,And the sound quality is great.,positive
11,He was very impressed when going from the original battery to the extended battery.,positive
12,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,negative
13,Very good quality though,positive
14,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",negative
15,Highly recommend for any one who has a blue tooth phone.,positive
16,I advise EVERYONE DO NOT BE FOOLED!,negative
17,So Far So Good!.,positive
18,Works great!.,positive
19,It clicks into place in a way that makes you wonder how long that mechanism would last.,negative
20,"I went on Motorola's website and followed all directions, but could not get it to pair again.",negative
21,I bought this to use with my Kindle Fire and absolutely loved it!,positive
22,The commercials are the most misleading.,negative
23,I have yet to run this new battery below two bars and that's three days without charging.,positive
24,I bought it for my mother and she had a problem with the battery.,negative
25,Great Pocket PC / phone combination.,positive
26,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,positive
27,I didn't think that the instructions provided were helpful to me.,negative
28,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,negative
29,Doesn't hold charge.,negative
30,"This is a simple little phone to use, but the breakage is unacceptible.",negative
31,This product is ideal for people like me whose ears are very sensitive.,positive
32,It is unusable in a moving car at freeway speed.,negative
33,I have two more years left in this contract and I hate this phone.,negative
34,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,positive
35,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,negative
36,It has kept up very well.,positive
37,Poor Talk Time Performance.,negative
38,The case is great and works fine with the 680.,positive
39,worthless product.,negative
40,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",positive
41,I was not impressed by this product.,negative
42,Nice headset priced right.,positive
43,I only hear garbage for audio.,negative
44,Excellent bluetooth headset.,positive
45,It has all the features I want,positive
46,Who in their right mind is gonna buy this battery?.,negative
47,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,negative
48,This case seems well made.,positive
49,Disappointed with battery.,negative
50,Not loud enough and doesn't turn on like it should.,negative
51,good protection and does not make phone too bulky.,positive
52,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,positive
53,This phone is pretty sturdy and I've never had any large problems with it.,positive
54,I love this thing!,positive
55,Everything about it is fine and reasonable for the price i.e.,positive
56,VERY DISAPPOINTED.,negative
57,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,positive
58,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,positive
59,The buttons for on and off are bad.,negative
60,Essentially you can forget Microsoft's tech support.,negative
61,"I really recommend this faceplates since it looks very nice, elegant and cool.",positive
62,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,positive
63,Buy a different phone - but not this.,negative
64,You have to hold the phone at a particular angle for the other party to hear you clearly.,negative
65,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,negative
66,"A week later after I activated it, it suddenly died.",negative
67,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,positive
68,Great for iPODs too.,positive
69,This device is great in several situations:1.),positive
70,Mic Doesn't work.,negative
71,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",negative
72,Great choice!,positive
73,Nice docking station for home or work.,positive
74,This is a beautiful phone.,positive
75,Love this product.,positive
76,Do Not Buy for D807...wrongly advertised for D807.,negative
77,This is a great little item.,positive
78,"I love this phone , It is very handy and has a lot of features .",positive
79,I purchased this and within 2 days it was no longer working!!!!!!!!!,negative
80,I wear it everyday and it holds up very well.,positive
81,Not a good bargain.,negative
82,"Well packaged, arrived on time, and works as intended.",positive
83,The battery runs down quickly.,negative
84,"This item worked great, but it broke after 6 months of use.",negative
85,The headsets are easy to use and everyone loves them.,positive
86,This phone works great.,positive
87,The construction of the headsets is poor.,negative
88,Product was excellent and works better than the verizon one and Boy was it cheaper!,positive
89,The phone loads super!,positive
90,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",negative
91,Made very sturdy.,positive
92,Worked great!.,positive
93,The ear buds only play music in one ear.,negative
94,Dont waste your money...,negative
95,Will order from them again!,positive
96,If you plan to use this in a car forget about it.,negative
97,I found this product to be waaay too big.,negative
98,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,positive
99,I'm very disappointed with my decision.,negative
100,Integrated seamlessly with the Motorola RAZR phone.,positive
101,"Buyer Beware, you could flush money right down the toilet.",negative
102,Definitely a bargain.,positive
103,The price was very good and with the free shipping and all it was a good purchase.,positive
104,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,negative
105,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",positive
106,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",negative
107,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",positive
108,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",negative
109,I purcashed this for the car charger and it does not work.,negative
110,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",positive
111,This phone is slim and light and the display is beautiful.,positive
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,positive
113,"Great product, fast shipping!.",positive
114,Absolutely great.,positive
115,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,positive
116,i got this phone around the end of may and i'm completely unhappy with it.,negative
117,It is very comfortable on the ear.,positive
118,It has been a winner for us.,positive
119,)Setup couldn't have been simpler.,positive
120,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,positive
121,Could not get strong enough signal.,negative
122,Iam very pleased with my purchase.,positive
123,Bad Quality.,negative
124,Gets the job done.,positive
125,Great audio!.,positive
126,Basically the service was very bad.,negative
127,it did not work in my cell phone plug i am very up set with the charger!.,negative
128,"I've only had my bluetooth for a few weeks, but I really like it.",positive
129,The BT headset was such a disapoinment.,negative
130,It is so small and you don't even realize that it is there after a while of getting used to it.,positive
131,The accompanied software is almost brilliant.,positive
132,Headset works great & was packaged nicely to avoid any damage.,positive
133,!I definitly recommend!!,positive
134,Buyer--Be Very Careful!!!!!.,negative
135,The majority of the Logitech earbud headsets failed.,negative
136,Very good stuff for the price.,positive
137,My headset works just peachy-keen.,positive
138,In my house I was getting dropped coverage upstairs and no coverage in my basement.,negative
139,Voice recognition is tremendous!,positive
140,What a waste.,negative
141,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",negative
142,I was not happy with this item.,negative
143,very disappointed.,negative
144,The phone takes FOREVER to charge like 2 to 5 hours literally.,negative
145,I got this phone on reccomendation from a relative and I'm glad I did.,positive
146,What a waste of time!,negative
147,Its reception is very very poor.,negative
148,Items stated as included from the description ARE NOT INCLUDED.,negative
149,"After 3 months, screen just went black all of a sudden.",negative
150,I Was Hoping for More.,negative
151,"Audio Quality is poor, very poor.",negative
152,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,positive
153,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",positive
154,I've bought $5 wired headphones that sound better than these.,negative
155,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,positive
156,"Nice quality build, unlike some cheap s*** out there.",positive
157,This item is fantastic and works perfectly!,positive
158,And I just love the colors!,positive
159,W810i is just SUPERB.,positive
160,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",negative
161,Great charger.,positive
162,This is essentially a communications tool that does not communicate.,negative
163,Works like a charm; it work the same as the one I got with the phone.,positive
164,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",negative
165,Great Value.,positive
166,Doesn't work at all.. I bougth it for my L7c and its not working.,negative
167,"The look of it is very sharp and the screen is nice and clear, with great graphics.",positive
168,doesn't last long.,negative
169,One thing I hate is the mode set button at the side.,negative
170,EXCELLENT SERVICE!!!!!!!!.,positive
171,Thank you for wasting my money.,negative
172,How can that be?The audio quality is poor.,negative
173,The iGo chargers and tips are really great.,positive
174,The file browser offers all the options that one needs.Handsfree is great.,positive
175,Superb Phone on a Great Network.,positive
176,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",positive
177,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",negative
178,It only recognizes the Phone as its storage device.,negative
179,"If you like a loud buzzing to override all your conversations, then this phone is for you!",negative
180,Don't buy this product.,negative
181,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,negative
182,The sound quality is good and functionality is awesome.,positive
183,"I have this phone and it is a thorn in my side, I really abhor it.",negative
184,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,negative
185,Incredible!.,positive
186,Design Flaw?.,negative
187,Great phone!.,positive
188,Waste of 13 bucks.,negative
189,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",negative
190,The replacement died in a few weeks.,negative
191,Any ring tone..Overall good phone to buy..,positive
192,Lately they have been extremely nice and helpful on the phone.,positive
193,I have had problems wit hit dropping signal and more.,negative
194,Not impressed.,negative
195,"Light weight, I hardly notice it is there.",positive
196,You'll love how thin it is.,positive
197,Bad Choice.,negative
198,The pleather case doesn't fit.,negative
199,"useless phone, simply deaf.",negative
200,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",positive
201,All in all I think it was a good investment.,positive
202,It makes very strange ticking noises before it ends the call.,negative
203,The best electronics of the available FM Transmitters.,positive
204,Battery lasts only a few hours.,negative
205,"great headset, very impressed - H500.",positive
206,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",positive
207,I've had this for nearly 2 years and it has worked great for me.,positive
208,Good transmit audio.,positive
209,We are sending it back.,negative
210,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,negative
211,"If you hate earbugs, avoid this phone by all means.",negative
212,Great price also!,positive
213,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",positive
214,fast service.,positive
215,I would highly recommend this.,positive
216,I would recommend this.,positive
217,"I also didn't like the ""on"" button, it felt like it would crack with use.",negative
218,WORST PHONE EVER.,negative
219,I'm still infatuated with this phone.,positive
220,Freezes frequently4.,negative
221,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,negative
222,"Simple, lightweight and great fit.",positive
223,"All in all, I'd expected a better consumer experience from Motorola.",negative
224,There's a horrible tick sound in the background on all my calls that I have never experienced before.,negative
225,These are certainly very comfortable and functionality is decent.,positive
226,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,positive
227,I'm a bit disappointed.,negative
228,"I have had this phone for over a year now, and I will tell you, its not that great.",negative
229,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,negative
230,The battery is completely useless to me.,negative
231,What a big waste of time.,negative
232,Don't waste your $$$ on this one.,negative
233,Great sound and service.,positive
234,Really pleased with this product so far.,positive
235,One of my favorite purchases ever.,positive
236,best bluetooth on the market.,positive
237,Authentic leather with nice shine and comfort .I recommend you this case !!,positive
238,I was very excited to get this headset because I thought it was really cute.,positive
239,Do not make the same mistake as me.,negative
240,Big Disappointment with calendar sync.,negative
241,the phone was unusable and was not new.,negative
242,Worst Customer Service Ever.,negative
243,"No additional ear gels provided, and no instructions whatsoever.",negative
244,It defeats the purpose of a bluetooth headset.,negative
245,Worth every penny.,positive
246,Excellent wallet type phone case.,positive
247,Nice headphones for the price and they work great!,positive
248,Internet is excrutiatingly slow.,negative
249,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",positive
250,"It's fits like a glove and is strong, secure, and durable.",positive
251,O my gosh the best phone I have ever had.,positive
252,It's very attractive and appears to be of good quality.,positive
253,I love all the features and form factor.,positive
254,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,negative
255,poor quality and service.,negative
256,"The cable looks so thin and flimsy, it is scary.",negative
257,Great Earpiece.,positive
258,Excellent hands free tool.,positive
259,Great for using with your home stereo.,positive
260,Good product - incredible value.,positive
